          1  1.60156e-01 -5.41474e+00  3.70747e+00
          2  1.83594e-01 -5.36957e+00  3.92175e+00
          3  1.95312e-01 -5.35053e+00  4.04234e+00
          4  2.14844e-01 -5.39248e+00  3.82055e+00
          5  1.67969e-01 -5.43922e+00  3.63377e+00
          6  2.03125e-01 -5.48659e+00  3.46735e+00
          7  2.03125e-01 -5.43866e+00  3.72647e+00
          8  2.10938e-01 -5.42558e+00  3.73566e+00
          9  2.18750e-01 -5.39259e+00  3.86454e+00
         10  2.07031e-01 -5.35841e+00  3.99694e+00
         11  2.03125e-01 -5.41154e+00  3.74447e+00
         12  1.99219e-01 -5.43455e+00  3.56496e+00
         13  2.14844e-01 -5.47591e+00  3.40778e+00
         14  2.10938e-01 -5.43237e+00  3.70074e+00
         15  2.18750e-01 -5.34430e+00  4.13116e+00
         16  2.42188e-01 -5.36585e+00  4.10321e+00
         17  1.95312e-01 -5.37858e+00  3.93544e+00
         18  2.14844e-01 -5.36364e+00  3.95141e+00
         19  1.87500e-01 -5.43546e+00  3.68258e+00
         20  1.95312e-01 -5.49006e+00  3.45758e+00
         21  1.09375e-01 -5.49120e+00  3.43003e+00
         22  2.46094e-01 -5.47542e+00  3.56970e+00
         23  1.99219e-01 -5.44284e+00  3.69975e+00
         24  2.14844e-01 -5.43444e+00  3.62435e+00
         25  2.38281e-01 -5.49956e+00  3.39496e+00
         26  1.79688e-01 -5.52363e+00  3.30096e+00
         27  2.50000e-01 -5.44079e+00  3.64610e+00
         28  2.07031e-01 -5.44334e+00  3.52768e+00
         29  2.50000e-01 -5.46569e+00  3.45803e+00
         30  2.38281e-01 -5.42926e+00  3.59732e+00
         31  2.42188e-01 -5.46245e+00  3.43897e+00
         32  1.91406e-01 -5.47623e+00  3.48718e+00
         33  2.10938e-01 -5.45273e+00  3.57609e+00
         34  1.79688e-01 -5.50450e+00  3.30474e+00
         35  2.34375e-01 -5.56597e+00  3.00671e+00
         36  1.67969e-01 -5.51580e+00  3.27142e+00
         37  2.14844e-01 -5.50953e+00  3.30156e+00
         38  1.87500e-01 -5.50664e+00  3.30828e+00
         39  1.79688e-01 -5.48957e+00  3.32565e+00
         40  2.34375e-01 -5.49385e+00  3.35564e+00
         41  2.26562e-01 -5.53713e+00  3.12329e+00
