          1  5.00000e-01  6.35688e+06  2.14076e+07
          2  4.92188e-01  5.98581e+06  2.01578e+07
          3  4.76562e-01  7.79484e+04  2.62771e+05
          4  4.84375e-01  3.29743e+04  1.11233e+05
          5  4.53125e-01  1.27046e+04  4.29223e+04
          6  4.53125e-01  3.57940e+03  1.21633e+04
          7  4.41406e-01  1.62920e+03  5.57375e+03
          8  4.21875e-01  1.01221e+03  3.48378e+03
          9  4.88281e-01  7.54784e+02  2.60869e+03
         10  4.49219e-01  6.08451e+02  2.10878e+03
         11  4.37500e-01  1.87863e+02  6.83702e+02
         12  3.67188e-01  1.00672e+02  3.85097e+02
         13  4.02344e-01  6.10145e+01  2.47838e+02
         14  3.63281e-01  4.89516e+01  2.05554e+02
         15  3.63281e-01  4.11082e+01  1.77605e+02
         16  4.06250e-01  2.82162e+01  1.32054e+02
         17  3.86719e-01  2.07573e+01  1.05175e+02
         18  4.29688e-01  1.56646e+01  8.67625e+01
         19  4.02344e-01  1.26515e+01  7.57137e+01
         20  3.90625e-01  1.00040e+01  6.57334e+01
         21  3.78906e-01  7.85341e+00  5.78852e+01
         22  3.55469e-01  5.82283e+00  5.02939e+01
         23  4.17969e-01  4.33922e+00  4.46529e+01
         24  3.59375e-01  2.88969e+00  3.92000e+01
         25  3.90625e-01  1.82844e+00  3.51001e+01
         26  4.02344e-01  1.03070e+00  3.18863e+01
         27  3.82812e-01  5.38539e-01  2.98308e+01
         28  3.39844e-01  1.85468e-01  2.83105e+01
         29  4.10156e-01 -6.36492e-01  2.51070e+01
         30  3.86719e-01 -1.09596e+00  2.33554e+01
         31  3.82812e-01 -1.52786e+00  2.14821e+01
         32  3.32031e-01 -1.75527e+00  2.05188e+01
         33  4.33594e-01 -2.11211e+00  1.90328e+01
         34  3.94531e-01 -2.47078e+00  1.74448e+01
         35  3.59375e-01 -2.54663e+00  1.70824e+01
         36  3.43750e-01 -2.77641e+00  1.60717e+01
         37  3.90625e-01 -2.99224e+00  1.52197e+01
         38  3.90625e-01 -3.20213e+00  1.42575e+01
         39  4.10156e-01 -3.57539e+00  1.26477e+01
         40  5.00000e-01 -3.64668e+00  1.22571e+01
         41  3.82812e-01 -3.80369e+00  1.15821e+01
         42  4.41406e-01 -3.85224e+00  1.13331e+01
         43  4.06250e-01 -4.01580e+00  1.05517e+01
         44  4.41406e-01 -4.14496e+00  1.00132e+01
         45  4.06250e-01 -4.20991e+00  9.75763e+00
         46  4.06250e-01 -4.33818e+00  9.18781e+00
         47  4.02344e-01 -4.44449e+00  8.75476e+00
         48  4.06250e-01 -4.54357e+00  8.31081e+00
         49  4.33594e-01 -4.59880e+00  8.10935e+00
         50  3.86719e-01 -4.74070e+00  7.50500e+00
         51  3.86719e-01 -4.75091e+00  7.38609e+00
         52  4.37500e-01 -4.83113e+00  7.04333e+00
         53  4.25781e-01 -4.85424e+00  6.86785e+00
         54  3.67188e-01 -4.82072e+00  7.00698e+00
         55  4.33594e-01 -4.94495e+00  6.39430e+00
         56  4.80469e-01 -4.98234e+00  6.19259e+00
         57  4.53125e-01 -4.96447e+00  6.20486e+00
         58  4.57031e-01 -4.93684e+00  6.32361e+00
         59  4.45312e-01 -4.97886e+00  6.08552e+00
         60  4.10156e-01 -5.02415e+00  5.89330e+00
         61  3.86719e-01 -5.09174e+00  5.56908e+00
         62  4.72656e-01 -5.15119e+00  5.29159e+00
         63  4.68750e-01 -5.12043e+00  5.40112e+00
         64  4.17969e-01 -5.07819e+00  5.53081e+00
         65  3.98438e-01 -5.07490e+00  5.52564e+00
         66  4.17969e-01 -5.10228e+00  5.39580e+00
         67  4.49219e-01 -5.08506e+00  5.48323e+00
         68  4.92188e-01 -5.04670e+00  5.66141e+00
         69  4.29688e-01 -5.15019e+00  5.17617e+00
         70  4.41406e-01 -5.15332e+00  5.19198e+00
         71  4.92188e-01 -5.13746e+00  5.24424e+00
         72  4.72656e-01 -5.25900e+00  4.60270e+00
         73  4.53125e-01 -5.18774e+00  5.02265e+00
         74  4.33594e-01 -5.22995e+00  4.76228e+00
         75  4.14062e-01 -5.19356e+00  4.96951e+00
         76  4.76562e-01 -5.21467e+00  4.76085e+00
         77  4.92188e-01 -5.25986e+00  4.50764e+00
         78  4.17969e-01 -5.20176e+00  4.84586e+00
         79  4.53125e-01 -5.20601e+00  4.86368e+00
         80  5.35156e-01 -5.25156e+00  4.66541e+00
         81  4.60938e-01 -5.28485e+00  4.50509e+00
         82  4.29688e-01 -5.31803e+00  4.30401e+00
         83  4.76562e-01 -5.30991e+00  4.29718e+00
         84  4.33594e-01 -5.38213e+00  3.94191e+00
         85  5.11719e-01 -5.36472e+00  4.01036e+00
         86  4.64844e-01 -5.35081e+00  4.04745e+00
         87  4.49219e-01 -5.38838e+00  3.89388e+00
         88  4.53125e-01 -5.40914e+00  3.74821e+00
         89  4.68750e-01 -5.39478e+00  3.80177e+00
         90  4.88281e-01 -5.40748e+00  3.81058e+00
         91  4.57031e-01 -5.44539e+00  3.63484e+00
         92  5.23438e-01 -5.46947e+00  3.56594e+00
         93  4.41406e-01 -5.50818e+00  3.37747e+00
         94  5.03906e-01 -5.45432e+00  3.70629e+00
         95  4.88281e-01 -5.43073e+00  3.84085e+00
         96  4.76562e-01 -5.44135e+00  3.81095e+00
         97  4.80469e-01 -5.43394e+00  3.79452e+00
         98  4.72656e-01 -5.51252e+00  3.46779e+00
         99  5.07812e-01 -5.50032e+00  3.52434e+00
        100  4.96094e-01 -5.52268e+00  3.36779e+00
